Object_ID,Class,X,Y,Z,Variance
0,Person,0.9460992663048957,-1.07840948640412,-0.3675656245914176,-3.395012613816027e-06
1,Person,0.7489368438004519,-1.010466961913039,-0.15796079528770166,-1.536354813702623e-06
2,Person,0.6627427338449405,-1.0892715301495046,-0.13216651621545583,-1.484143014374162e-06
3,Vehicle,0.312953101830341,0.3637845816386785,-0.08932784211872205,1.6966940549201226e-06
