Timestamp,Class,X,Y,Z,Variance,Velocity
1745574630.9341362,Person,1.2816703540171959,-1.0158203642453507,-0.09197796453405316,1.1507895910867226e-05,0.0
1745574630.9341362,Person,4.762280684547951,-0.38826822196081195,-0.19257295289227092,0.012687450463877427,0.0
1745574631.4216268,Person,1.2812364505454643,-1.0156713497105156,-0.09187160994464702,1.1527538722688763e-05,0.0009660588058561973
1745574631.4216268,Person,4.762142750673255,-0.3926526949811565,-0.19242090312879986,0.01262532519455384,0.009003816800857677
1745574631.471252,Person,1.2812135645175728,-1.0155504751140827,-0.09183215152015503,1.1658916141854547e-05,0.002603421877480405
1745574631.471252,Person,4.763456701181802,-0.3944950564149617,-0.19261701600404213,0.012710667113301712,0.04577097844791515
1745574631.5255,Person,1.281127205213258,-1.0153087767087619,-0.09177088559106722,1.166238313565772e-05,0.004864210325153978
1745574631.5255,Person,4.7662985799752144,-0.39580243513651225,-0.19312806444881242,0.012753452538040836,0.05842879075922875
1745574631.573783,Person,1.2812437569831403,-1.0152481900306072,-0.09176024230896637,1.1721653086382859e-05,0.002729519205877498
1745574631.573783,Person,4.770309198929088,-0.396132493846905,-0.19374832017768523,0.012835468296421126,0.0843300775720976
1745574631.6250162,Person,1.2817871096506086,-1.0152269251970976,-0.09181268859720305,1.18385599900961e-05,0.010662831974646776
1745574631.6250162,Person,4.775762961370163,-0.3957889884986829,-0.1946829116027583,0.012894254075822788,0.1082092086643383
1745574631.6745372,Person,1.2821121106503632,-1.015427269339102,-0.09182505145985193,1.175770227312967e-05,0.007713699485446092
1745574631.6745372,Person,4.7816425094827935,-0.39514717904584173,-0.19566109648641397,0.012963148022995698,0.12105616584908396
1745574631.7342792,Person,1.28230870394415,-1.0153723084141277,-0.09179442790506916,1.1790461817540178e-05,0.003455119674346188
1745574631.7342792,Person,4.785035100352096,-0.38636258990530736,-0.19640885147157586,0.013008074558333861,0.15812294723094383
1745574631.7992811,Person,1.2829564337404542,-1.0144759999949349,-0.09438795888116709,1.1907999001081738e-05,0.04337491733953214
1745574631.7992811,Person,4.784198558852589,-0.38208220090527495,-0.19755778267113605,0.012880292037030117,0.06938503328523697
1745574631.8927646,Person,1.2832404939385569,-1.0142196887903605,-0.09435661191266774,1.1957584652222385e-05,0.004106456802047845
1745574631.8927646,Person,4.776855597325334,-0.37792681404739525,-0.19706825846707635,0.012747121174347951,0.09040517978560025
1745574632.02986,Person,1.2833673350538914,-1.0141384188191862,-0.09436023436255668,1.1903758936782063e-05,0.0010991399631574274
1745574632.02986,Person,4.776911248424596,-0.3751614109182838,-0.19707640374028265,0.012873040352010532,0.020175541937375172
